followers,following,post_count,has_profile_pic,bio_length,is_fake,follower_following_ratio
2,2757,0,0,1,1,0.0007251631617113851
2,505,0,1,1,1,0.003952569169960474
6786,1782,1589,0,3,0,3.8059450364554124
21,1281,0,1,1,1,0.01638065522620905
585,1682,2663,0,3,0,0.34759358288770054
0,753,0,1,3,1,0.0
6,440,1,1,1,1,0.013605442176870748
4,754,3,1,1,1,0.005298013245033113
21,4459,0,0,1,1,0.0047085201793721975
1,677,3,1,1,1,0.0014749262536873156
35,6275,1,0,1,1,0.005576800509878904
4,610,1,0,1,1,0.006546644844517185
6,212,2,1,3,1,0.028169014084507043
29733,519,734,1,3,1,57.17884615384615
13250,164,2321,1,3,0,80.3030303030303
3029,1563,2377,0,1,0,1.936700767263427
10807,1471,1076,0,3,0,7.341711956521739
24,878,1,0,1,1,0.027303754266211604
45,4132,2,1,1,1,0.010887974836680378
2257,827,857,0,3,0,2.725845410628019
2,6069,1,0,1,1,0.00032948929159802305
113377,471,650,1,3,1,240.20550847457628
6,501,1,0,3,1,0.01195219123505976
1118,1666,359,1,1,0,0.6706658668266346
8,2473,1,1,1,1,0.0032336297493936943
0,602,4,1,3,1,0.0
13636,1317,1820,1,3,0,10.34597875569044
4,218,4,1,1,1,0.0182648401826484
155691,668,176,0,3,1,232.7219730941704
0,106,1,1,3,1,0.0
68897,509,565,0,3,1,135.0921568627451
30,4786,0,0,1,1,0.006266973052015876
144481,1008,554,1,3,1,143.1922695738355
40,1107,1,1,1,1,0.036101083032490974
3,478,4,0,1,1,0.006263048016701462
2,493,1,0,1,1,0.004048582995951417
7,67,3,0,1,1,0.10294117647058823
5,523,1,0,3,1,0.009541984732824428
44,3563,0,1,1,1,0.012345679012345678
20440,1892,450,1,1,0,10.797675647120972
20226,1044,1180,1,3,0,19.355023923444975
17662,204,341,0,3,1,86.15609756097561
38,6606,0,1,1,1,0.005751475707582866
45,3486,2,0,1,1,0.012905075996558647
0,575,4,0,3,1,0.0
0,397,4,0,1,1,0.0
19080,340,288,0,3,0,55.95307917888563
18,5108,0,1,1,1,0.0035231943628890195
6,20,4,1,1,1,0.2857142857142857
14241,1157,1003,0,3,0,12.297927461139896
2,310,2,1,1,1,0.006430868167202572
20479,899,1025,1,1,0,22.754444444444445
3,101,2,1,3,1,0.029411764705882353
34,3057,2,0,1,1,0.011118378024852845
14,5048,0,1,1,1,0.002772826302238067
7,420,2,1,1,1,0.0166270783847981
23120,570,235,1,3,1,40.49036777583187
19566,1166,1864,0,1,0,16.76606683804627
80308,417,636,0,3,1,192.1244019138756
24,314,1,0,1,1,0.0761904761904762
3,155,3,0,3,1,0.019230769230769232
121446,163,298,1,3,1,740.5243902439024
9961,1622,2498,0,3,0,6.137399876771411
2,4310,0,0,1,1,0.00046392948271862676
3710,1261,854,0,3,0,2.9397781299524564
7,422,2,0,3,1,0.016548463356973995
12780,5,2489,0,3,0,2130.0
44897,747,160,1,1,1,60.02272727272727
44,5667,0,0,1,1,0.0077628793225123505
8,2428,2,0,1,1,0.0032935364347468094
9832,1608,1567,1,3,0,6.110627719080174
29,5022,1,1,1,1,0.0057734421660362335
3,138,4,0,1,1,0.02158273381294964
100647,921,527,1,1,1,109.16160520607376
11,3600,0,1,1,1,0.0030547070258261596
1,4179,0,1,1,1,0.00023923444976076556
0,431,0,0,1,1,0.0
46,776,1,0,1,1,0.059202059202059204
7,674,1,1,3,1,0.01037037037037037
20018,527,91,0,1,1,37.91287878787879
2867,494,606,0,3,0,5.791919191919192
3,11,1,1,1,1,0.25
95722,834,495,0,3,1,114.637125748503
6,1010,0,1,1,1,0.005934718100890208
130989,510,347,1,1,1,256.3385518590998
4601,620,196,0,1,1,7.4090177133655395
21822,1247,1232,1,1,0,17.485576923076923
22,4142,1,1,1,1,0.005310161718561429
12827,45,2156,0,1,0,278.8478260869565
6,636,3,0,3,1,0.009419152276295133
152927,514,261,0,1,1,296.9456310679612
42385,876,499,0,1,1,48.32953249714937
6,246,3,1,3,1,0.024291497975708502
158919,747,689,1,1,1,212.45855614973263
5434,2176,2268,1,3,0,2.4960955443270554
28,2814,0,1,1,1,0.00994671403197158
38,2078,0,0,1,1,0.01827801827801828
6224,197,2386,1,1,0,31.434343434343436
435,636,1106,0,3,0,0.6828885400313972
7,556,3,1,1,1,0.012567324955116697
6,680,4,1,3,1,0.00881057268722467
3,68,2,1,1,1,0.043478260869565216
41743,911,174,1,1,1,45.770833333333336
5,660,2,0,3,1,0.007564296520423601
21,3817,0,0,1,1,0.005500261917234154
2,432,0,0,3,1,0.004618937644341801
11975,1305,2346,0,3,0,9.169218989280244
44,289,0,0,1,1,0.15172413793103448
4307,1474,1612,1,1,0,2.92
5,643,4,0,1,1,0.007763975155279503
2,119,3,1,3,1,0.016666666666666666
7,16,2,0,3,1,0.4117647058823529
1348,211,1916,0,3,0,6.3584905660377355
16811,1573,1800,0,1,0,10.680432020330368
28,6566,0,0,1,1,0.004263742957210294
150994,164,325,1,3,1,915.1151515151515
2,16,1,1,1,1,0.11764705882352941
42,2077,1,1,1,1,0.02021174205967276
13874,8,237,1,3,1,1541.5555555555557
116557,976,470,1,1,1,119.30092118730809
91979,721,479,0,3,1,127.39473684210526
7930,69,1404,1,3,0,113.28571428571429
8863,658,1479,0,3,0,13.44916540212443
119121,495,224,1,3,1,240.1633064516129
4,700,3,1,3,1,0.005706134094151213
0,538,1,1,3,1,0.0
19,5626,1,1,1,1,0.003376577216989515
8,5946,2,1,1,1,0.0013452160753321001
74796,554,386,0,1,1,134.76756756756757
0,613,3,0,3,1,0.0
144085,594,439,0,3,1,242.1596638655462
11,1389,1,1,1,1,0.007913669064748202
6247,1960,827,1,1,0,3.185619581845997
2,503,1,0,1,1,0.003968253968253968
13,6629,0,0,1,1,0.00196078431372549
43593,455,341,0,1,1,95.59868421052632
137402,793,64,0,3,1,173.05037783375315
19056,511,298,1,1,0,37.21875
7,712,3,1,3,1,0.009817671809256662
117174,900,205,1,3,1,130.0488346281909
42,492,0,1,1,1,0.08519269776876268
5,520,1,0,1,1,0.009596928982725527
4,607,3,1,1,1,0.006578947368421052
2,162,1,1,1,1,0.012269938650306749
2,5377,1,1,1,1,0.0003718854592785422
86132,619,186,1,3,1,138.9225806451613
6960,1933,1312,1,1,0,3.5987590486039296
15349,1268,1748,1,1,0,12.095350669818755
159505,108,646,0,3,1,1463.348623853211
6688,2078,1967,0,1,0,3.2169312169312168
124216,693,267,1,1,1,178.985590778098
7,563,1,1,1,1,0.012411347517730497
3,16,2,1,3,1,0.17647058823529413
4,536,1,0,3,1,0.0074487895716946
1,747,4,0,1,1,0.001336898395721925
127118,80,601,1,3,1,1569.358024691358
45,4167,0,0,1,1,0.010796545105566218
15,1248,0,0,1,1,0.01200960768614892
115541,448,729,1,3,1,257.32962138084633
17301,660,237,1,3,1,26.173978819969744
803,569,2418,1,3,0,1.4087719298245613
37,6281,0,0,1,1,0.00588984399872652
1309,1229,645,0,3,0,1.0642276422764227
75165,92,731,1,1,1,808.2258064516129
11,1912,1,1,1,1,0.00575013068478829
2,287,4,0,3,1,0.006944444444444444
8497,881,1343,0,1,0,9.633786848072562
17298,1897,1302,1,3,0,9.113804004214963
38,4863,0,1,1,1,0.0078125
3,734,1,1,1,1,0.004081632653061225
8,2164,2,1,1,1,0.003695150115473441
1,462,3,1,1,1,0.0021598272138228943
3,658,4,0,1,1,0.004552352048558422
48945,255,521,0,3,1,191.19140625
50523,453,111,1,1,1,111.28414096916299
2,395,0,1,1,1,0.005050505050505051
0,640,2,0,1,1,0.0
12906,341,608,0,1,0,37.73684210526316
45,242,0,0,1,1,0.18518518518518517
6739,1413,1690,0,3,0,4.765912305516266
10,1208,0,0,1,1,0.008271298593879239
22,3210,0,0,1,1,0.006851448146994706
7262,1067,1693,1,3,0,6.799625468164794
16812,1495,147,0,3,0,11.237967914438503
5,698,3,0,3,1,0.00715307582260372
58452,701,500,0,3,1,83.26495726495726
2,1713,1,0,1,1,0.0011668611435239206
11,6345,0,1,1,1,0.0017333753545540499
22,4703,1,1,1,1,0.00467687074829932
7,492,2,0,1,1,0.014198782961460446
4,510,2,1,1,1,0.007827788649706457
4005,325,2312,0,1,0,12.285276073619633
17,1978,2,0,1,1,0.008590197069226882
21779,423,696,0,3,0,51.365566037735846
3,233,2,0,1,1,0.01282051282051282
33,4703,0,1,1,1,0.00701530612244898
13,6405,0,0,1,1,0.0020293474867311896
29,5116,1,1,1,1,0.005667383232362712
4707,1376,436,0,3,0,3.418300653594771
40,2431,0,1,1,1,0.01644736842105263
58922,142,208,1,3,1,412.041958041958
14,867,1,0,1,1,0.016129032258064516
3093,40,606,0,3,0,75.4390243902439
109984,221,5,0,3,1,495.4234234234234
13200,936,63,0,3,1,14.08751334044824
21047,188,1372,0,1,0,111.35978835978835
34,4080,1,0,1,1,0.008331291350159274
5,394,4,1,1,1,0.012658227848101266
20167,183,2412,0,1,0,109.60326086956522
0,724,3,1,3,1,0.0
6,4265,2,0,1,1,0.0014064697609001407
37,3002,2,0,1,1,0.012321012321012322
18,3528,1,1,1,1,0.005100595069424767
4654,2065,1564,0,3,0,2.2526621490803485
15538,470,323,0,3,0,32.989384288747345
32831,160,399,0,3,1,203.91925465838509
5,269,4,1,3,1,0.018518518518518517
20,1080,1,1,1,1,0.018501387604070305
834,1689,26,0,3,0,0.493491124260355
13,1149,0,0,1,1,0.011304347826086957
12922,842,2345,1,3,0,15.32858837485172
32,3722,1,0,1,1,0.008595218909481601
5,400,2,0,1,1,0.012468827930174564
14127,306,1793,1,3,0,46.01628664495114
433,521,1607,0,1,0,0.8295019157088123
5,281,4,0,3,1,0.01773049645390071
18247,191,295,0,3,1,95.03645833333333
