username,followers,following,post_count,log_followers,log_following,log_post_count,verified,is_fake,description_length,account_age_days,follower_following_ratio,following_followers_ratio,reputation_score,username_length,digits_in_username,digit_ratio_username,consonant_ratio_username,has_url,posts_per_day
0918Bask,208.0,332.0,2177.0,5.342334251964811,5.808142489980444,7.686162303492906,1,0,21,677.0,0.6246246246246246,1.5885167464114833,0.3844731977818854,8,4,0.4999993750007813,0.37499953125058594,0,3.2109144542772863
1120Roll,330.0,485.0,2660.0,5.802118375377063,6.186208623900494,7.886457270977689,1,0,48,341.0,0.6790123456790124,1.4652567975830815,0.40441176470588236,8,4,0.4999993750007813,0.37499953125058594,0,7.777777777777778
14KBBrown,166.0,177.0,1254.0,5.117993812416755,5.181783550292085,7.134890851565884,1,0,34,1446.0,0.9325842696629213,1.0598802395209581,0.48255813953488375,9,2,0.22222197530891633,0.666665925926749,0,0.866620594333103
wadespeters,2248.0,981.0,202968.0,7.718240951959316,6.889591308354466,12.220808537003057,1,0,58,1675.0,2.2892057026476578,0.4361938639395287,0.6959752321981424,11,0,0.0,0.6363630578517656,1,121.10262529832936
191a5bd05da04dc,21.0,79.0,82.0,3.091042453358316,4.382026634673881,4.418840607796598,1,0,13,73.0,0.2625,3.590909090909091,0.2079207920792079,15,8,0.5333329777780148,0.3333331111112593,0,1.1081081081081081
19_Joanne_87,641.0,1066.0,12915.0,6.464588303689961,6.9726062513017535,9.466222131878165,1,0,151,538.0,0.6007497656982193,1.6604361370716512,0.3752927400468384,12,4,0.33333305555578707,0.24999979166684028,0,23.961038961038962
1Dniallprincess,1042.0,2000.0,13676.0,6.949856455000773,7.601402334583733,9.523470868881551,1,0,37,558.0,0.5207396301849075,1.9175455417066156,0.3424252382517253,15,1,0.06666662222225185,0.6666662222225186,0,24.46511627906977
1GisellePizarro,561.0,118.0,61294.0,6.331501849893691,4.77912349311153,11.023453552529094,1,0,152,1518.0,4.714285714285714,0.2099644128113879,0.825,15,1,0.06666662222225185,0.5333329777780148,1,40.35154707044108
1Nicoleromany,337.0,256.0,4854.0,5.823045895483019,5.54907608489522,8.487764380725425,1,0,0,591.0,1.311284046692607,0.757396449704142,0.5673400673400674,13,1,0.07692301775152481,0.5384611242606736,0,8.199324324324325
1_DErika,421.0,338.0,2408.0,6.045005314036012,5.82600010738045,7.786967002614872,1,0,77,741.0,1.2418879056047198,0.8009478672985783,0.5539473684210526,8,1,0.12499984375019532,0.37499953125058594,0,3.2452830188679247
29PurpleDragons,335.0,276.0,24581.0,5.817111159963204,5.6240175061873385,10.109769746774926,1,0,13,1301.0,1.2093862815884477,0.8214285714285714,0.5473856209150327,15,2,0.1333332444445037,0.5999996000002666,1,18.87941628264209
2cdevelopment,232.0,225.0,2132.0,5.4510384535657,5.420534999272286,7.665284718471351,1,0,119,2192.0,1.0265486725663717,0.9656652360515021,0.5065502183406113,13,1,0.07692301775152481,0.6153841420121985,1,0.9721842225262198
2hip4tv,1948.0,2096.0,10354.0,7.575071699507561,7.64826303090192,9.245224773829685,1,0,130,2244.0,0.9289461134954697,1.0754232939969215,0.48158220024721876,7,2,0.2857138775516035,0.571427755103207,1,4.612026726057906
3shaa_,271.0,216.0,18484.0,5.605802066295998,5.37989735354046,9.824714871370732,1,0,22,660.0,1.2488479262672811,0.7941176470588235,0.555327868852459,6,1,0.16666638888935187,0.33333277777870374,1,27.963691376701966
510Daniel,16.0,74.0,88.0,2.833213344056216,4.31748811353631,4.48863636973214,1,0,131,1355.0,0.21333333333333335,4.352941176470588,0.17582417582417584,9,3,0.3333329629633745,0.3333329629633745,0,0.06489675516224189
51TalkPH,1190.0,355.0,2418.0,7.0825485693553,5.87493073085203,7.791109510610028,1,0,49,939.0,3.342696629213483,0.2980688497061293,0.7697283311772316,8,2,0.24999968750039064,0.6249992187509766,1,2.572340425531915
unionsummer,7842.0,7836.0,10839.0,8.967376693212666,8.966611387052865,9.290998274993637,1,0,115,1802.0,1.000637999234401,0.9991074843809766,0.500159448944448,11,0,0.0,0.5454540495872277,1,6.011647254575707
5secondsofujx,552.0,787.0,4774.0,6.315358001522335,6.669498089857879,8.471149252914831,1,0,21,455.0,0.700507614213198,1.423146473779385,0.41194029850746267,13,1,0.07692301775152481,0.6153841420121985,0,10.469298245614034
imxgine5sxs,223.0,166.0,36.0,5.4116460518550396,5.117993812416755,3.6109179126442243,1,0,95,433.0,1.3353293413173652,0.7410714285714286,0.5717948717948718,11,1,0.09090900826453795,0.6363630578517656,0,0.08294930875576037
777starr,303.0,325.0,9412.0,5.717027701406222,5.786897381366708,9.14984699154722,1,0,82,1591.0,0.9294478527607362,1.069078947368421,0.48171701112877585,8,3,0.37499953125058594,0.4999993750007813,1,5.9120603015075375
7820blackrose,1978.0,197.0,55052.0,7.590346945602565,5.288267030694535,10.916051636578784,1,0,80,1310.0,9.98989898989899,0.09954522486104093,0.9090073529411765,13,4,0.30769207100609924,0.46153810650914884,0,41.99237223493516
868RudeBoi,1605.0,969.0,69809.0,7.381501894506707,6.877296071497429,11.153532544964447,1,0,40,2118.0,1.6546391752577319,0.6033623910336239,0.6233009708737864,10,3,0.2999997000003,0.2999997000003,0,32.9443133553563
918Susie,212.0,150.0,7207.0,5.3612921657094255,5.017279836814924,8.882946799288174,1,0,0,619.0,1.403973509933775,0.704225352112676,0.5840220385674931,8,3,0.37499953125058594,0.24999968750039064,0,11.624193548387098
9_t_8,1206.0,49.0,16677.0,7.095893221097532,3.912023005428146,9.72184576464693,1,0,63,1391.0,24.12,0.04059652029826015,0.9601910828025477,5,2,0.39999920000160005,0.19999960000080003,1,11.980603448275861
A1_Ade,435.0,320.0,24163.0,6.077642243349034,5.771441123130016,10.092619201258632,1,0,9,1064.0,1.355140186915888,0.7339449541284404,0.5753968253968254,6,1,0.16666638888935187,0.16666638888935187,0,22.688262910798123
AA12YT,7644.0,359.0,45750.0,8.941807118363164,5.886104031450156,10.730968928388284,1,0,50,385.0,21.233333333333334,0.04695879659908437,0.9550224887556222,6,2,0.33333277777870374,0.33333277777870374,1,118.52331606217616
theaugustkiddo,182.0,117.0,1203.0,5.209486152841421,4.770684624465665,7.093404625868766,1,0,15,443.0,1.5423728813559323,0.639344262295082,0.6066666666666667,14,0,0.0,0.5714281632655976,0,2.7094594594594597
ABKool,9815.0,2190.0,274989.0,9.191768986390747,7.692113339595466,12.52449001235117,1,0,15,1504.0,4.479689639434048,0.22310513447432762,0.8175079127103115,6,0,0.0,0.4999991666680556,0,182.7169435215947
ACastiella,349.0,348.0,11334.0,5.857933154483459,5.855071922202427,9.335650562941629,1,0,85,1588.0,1.0,0.9942857142857143,0.5,10,0,0.0,0.49999950000050003,0,7.132787916928886
ADN_SUAPT,726.0,28.0,72102.0,6.588926477533519,3.367295829986474,11.185850931283975,1,0,110,1160.0,25.03448275862069,0.03851444291609354,0.9615894039735099,9,0,0.0,0.5555549382722909,1,62.10335917312661
AJCertified1,879.0,667.0,15525.0,6.779921907472252,6.504288173536645,9.650271316965625,1,0,22,2106.0,1.3158682634730539,0.7579545454545454,0.5681965093729799,12,1,0.08333326388894677,0.49999958333368055,1,7.368296155671571
AKbirder,3205.0,2377.0,31248.0,8.072779333169498,7.774015077250727,10.349742654652538,1,0,115,2002.0,1.347771236333053,0.7414223331253899,0.5740641232312377,8,0,0.0,0.6249992187509766,0,15.600599101347978
ANDRESOHYES,543.0,327.0,105025.0,6.298949246855942,5.793013608384144,11.561963217534743,1,0,0,1741.0,1.6554878048780488,0.6011029411764706,0.6234213547646383,11,0,0.0,0.6363630578517656,0,60.28989667049368
ARHG66,10.0,91.0,54.0,2.3978952727983707,4.5217885770490405,4.007333185232471,1,0,0,1599.0,0.10869565217391304,8.272727272727273,0.09803921568627451,6,2,0.33333277777870374,0.4999991666680556,0,0.03375
ASAPTraay,90.0,147.0,371.0,4.51085950651685,4.997212273764115,5.918893854273146,1,0,18,223.0,0.6081081081081081,1.6153846153846154,0.37815126050420167,9,0,0.0,0.5555549382722909,0,1.65625
ATankredi,223.0,495.0,2582.0,5.4116460518550396,6.206575926724928,7.8567067930958405,1,0,0,339.0,0.4495967741935484,2.2098214285714284,0.3101529902642559,9,0,0.0,0.5555549382722909,0,7.594117647058823
AYODELE7,75.0,77.0,427.0,4.330733340286331,4.356708826689592,6.059123195581797,1,0,71,2059.0,0.9615384615384616,1.013157894736842,0.49019607843137253,8,1,0.12499984375019532,0.37499953125058594,0,0.20728155339805826
A_AlRuwaieh,25.0,28.0,416.0,3.258096538021482,3.367295829986474,6.0330862217988015,1,0,35,1340.0,0.8620689655172413,1.0769230769230769,0.46296296296296297,11,0,0.0,0.3636360330581518,0,0.31021625652498136
A_Hamm5,661.0,498.0,34627.0,6.495265555937008,6.212606095751519,10.452417882335665,1,0,43,1230.0,1.3246492985971945,0.7522658610271903,0.5698275862068966,7,1,0.14285693877580175,0.4285708163274053,0,28.129163281884647
AaaronPogiii,832.0,644.0,25098.0,6.725033642166843,6.4692503167957724,10.130583283688766,1,0,27,807.0,1.289922480620155,0.773109243697479,0.5633039945836155,12,0,0.0,0.33333305555578707,0,31.06188118811881
Aagan86,7785.0,424.0,283536.0,8.960082528170402,6.052089168924417,12.555097905097908,1,0,84,2177.0,18.31764705882353,0.05445671718469047,0.9482338611449452,7,2,0.2857138775516035,0.2857138775516035,1,130.1818181818182
Aankhi01,697.0,103.0,13634.0,6.548219102762372,4.6443908991413725,9.52039529527969,1,0,94,1897.0,6.701923076923077,0.14756446991404013,0.8701622971285893,8,2,0.24999968750039064,0.37499953125058594,1,7.183350895679663
Aashu_Salotra,385.0,200.0,10339.0,5.955837369464831,5.303304908059076,9.24377514806242,1,0,134,1635.0,1.9154228855721394,0.5181347150259067,0.6569965870307167,13,0,0.0,0.46153810650914884,0,6.319682151589242
Abbdulla_,385.0,252.0,19390.0,5.955837369464831,5.53338948872752,9.872564319882619,1,0,0,1354.0,1.5217391304347827,0.6528497409326425,0.603448275862069,9,0,0.0,0.5555549382722909,1,14.309963099630997
AbijahGupta,4910.0,1675.0,1960.0,8.499232866039245,7.424165281042028,7.581209826196346,1,0,118,774.0,2.9295942720763724,0.34107106495622075,0.745520801700577,11,0,0.0,0.5454540495872277,1,2.529032258064516
Abikikime,79.0,196.0,2766.0,4.382026634673881,5.2832037287379885,7.925518979786926,1,0,64,1385.0,0.4010152284263959,2.45,0.286231884057971,9,0,0.0,0.44444395061783265,0,1.9956709956709957
