profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows,fake,followers_following_ratio
1,0.27,0,0.0,0,53,0,0,32,1000,955,0,1.0460251046025104
1,0.0,2,0.0,0,44,0,0,286,2740,533,0,5.131086142322097
1,0.1,2,0.0,0,0,0,1,13,159,98,0,1.606060606060606
1,0.0,1,0.0,0,82,0,0,679,414,651,0,0.6349693251533742
1,0.0,2,0.0,0,0,0,1,6,151,126,0,1.188976377952756
1,0.0,4,0.0,0,81,1,0,344,669987,150,0,4437.0
1,0.0,2,0.0,0,50,0,0,16,122,177,0,0.6853932584269663
1,0.0,2,0.0,0,0,0,0,33,1078,76,0,14.0
1,0.0,0,0.0,0,71,0,0,72,1824,2713,0,0.6720707442888725
1,0.0,2,0.0,0,40,1,0,213,12945,813,0,15.902948402948402
1,0.0,2,0.0,0,54,0,0,648,9884,1173,0,8.419080068143101
1,0.0,2,0.0,0,54,1,0,76,1188,365,0,3.2459016393442623
1,0.0,2,0.0,0,0,1,0,298,945,583,0,1.6181506849315068
1,0.0,2,0.0,0,103,1,0,117,12033,248,0,48.325301204819276
1,0.0,2,0.0,0,98,1,0,487,1962,2701,0,0.7261287934863064
1,0.0,3,0.0,0,46,0,0,254,50374,900,0,55.90899001109878
1,0.0,3,0.0,0,0,0,0,59,7007,289,0,24.162068965517243
1,0.29,3,0.0,0,48,0,0,1570,1128,694,0,1.623021582733813
1,0.0,2,0.0,0,63,1,0,378,34670,1878,0,18.451303885045238
1,0.0,2,0.0,0,106,1,0,526,2338,776,0,3.009009009009009
1,0.0,2,0.0,0,40,0,0,228,3516,999,0,3.516
1,0.0,1,0.0,0,35,1,1,35,1809,416,0,4.338129496402877
1,0.0,2,0.0,0,30,0,0,281,427,470,0,0.9065817409766455
1,0.0,1,0.0,0,27,0,0,285,759,956,0,0.7931034482758621
1,0.0,0,0.0,0,0,0,0,148,15338538,61,0,247395.7741935484
1,0.0,1,0.0,0,109,1,1,57,109,179,0,0.6055555555555555
1,0.0,6,0.0,0,0,0,1,17,536,665,0,0.8048048048048048
1,0.0,2,0.0,0,132,1,0,511,121354,176,0,685.6158192090395
1,0.0,2,0.0,0,126,1,0,230,2284,130,0,17.435114503816795
1,0.0,2,0.0,0,122,0,1,15,186,174,0,1.062857142857143
1,0.0,2,0.0,0,138,0,1,980,687,1517,0,0.4525691699604743
1,0.13,0,0.0,0,0,0,1,53,966,952,0,1.0136411332633788
1,0.0,2,0.0,0,50,0,1,111,177,170,0,1.0350877192982457
1,0.0,2,0.0,0,35,0,0,719,744,967,0,0.768595041322314
1,0.0,2,0.0,0,56,1,0,1164,542073,674,0,803.0711111111111
1,0.18,2,0.0,0,9,0,0,497,5315651,2703,0,1965.8472633136096
1,0.33,0,0.0,0,0,0,1,18,267,328,0,0.8115501519756839
1,0.0,2,0.0,0,81,0,0,50,691,680,0,1.014684287812041
1,0.0,2,0.0,0,134,0,1,74,120,112,0,1.0619469026548674
1,0.0,2,0.0,0,0,0,0,8,105,98,0,1.0606060606060606
1,0.0,0,0.0,0,2,0,0,7389,890969,11,0,74247.41666666667
1,0.0,2,0.0,0,0,1,0,420,361853,583,0,619.611301369863
1,0.0,2,0.0,0,23,0,0,433,3678,1359,0,2.7044117647058825
1,0.0,2,0.0,0,138,1,0,156,92192,16,0,5423.058823529412
1,0.0,4,0.0,0,35,0,0,4494,12397719,8,0,1377524.3333333333
1,0.0,3,0.0,0,93,0,0,751,380510,0,0,380510.0
1,0.0,2,0.0,0,4,0,1,4,132,183,0,0.717391304347826
1,0.0,2,0.0,0,1,0,1,27,162,208,0,0.7751196172248804
1,0.0,1,0.0,0,4,0,0,91,369,546,0,0.6745886654478976
1,0.0,0,0.0,0,23,0,0,262,1476,666,0,2.212893553223388
1,0.0,3,0.0,0,91,1,0,274,1798,461,0,3.8917748917748916
1,0.0,2,0.0,0,57,0,0,271,2118,1109,0,1.9081081081081082
1,0.0,1,0.0,0,108,1,0,713,812,432,0,1.8752886836027713
1,0.0,2,0.12,0,30,1,0,200,7217,761,0,9.471128608923884
1,0.0,0,0.0,0,82,0,0,12,313,376,0,0.830238726790451
1,0.12,1,0.0,0,12,1,0,26,64,261,0,0.24427480916030533
1,0.0,2,0.0,0,54,0,0,75,1759,643,0,2.731366459627329
1,0.0,1,0.0,0,0,0,1,94,404,283,0,1.4225352112676057
1,0.0,1,0.0,0,12,0,0,63,1843,598,0,3.0767946577629384
1,0.12,2,0.0,0,0,0,0,69,320377,228,0,1399.0262008733625
1,0.0,1,0.0,0,3,0,0,12,108,97,0,1.1020408163265305
1,0.0,1,0.0,0,39,1,0,63,384,447,0,0.8571428571428571
1,0.19,2,0.0,0,0,0,0,19,60,100,0,0.594059405940594
1,0.0,1,0.0,0,68,1,0,100,802,151,0,5.276315789473684
1,0.0,2,0.0,0,129,1,0,661,51145,528,0,96.68241965973534
1,0.0,2,0.0,0,57,1,0,149,1582,1882,0,0.8401486988847584
1,0.0,2,0.0,0,64,0,0,22,223,266,0,0.8352059925093633
