profile_pic,username_digit_ratio,fullname_digit_ratio,bio_length,followers_count,following_count,posts_count,account_age_days,posting_frequency,followers_following_ratio,is_fake
1,0.003,0.006,58,1443,854,154,3136,0.049,1.69,0
1,0.055,0.012,34,544,195,273,1317,0.207,2.79,0
1,0.003,0.004,113,4764,529,275,2204,0.125,9.006,0
0,0.786,0.103,5,44,2731,10,72,0.139,0.016,1
1,0.096,0.007,41,3412,199,417,3836,0.109,17.146,0
1,0.026,0.001,88,4692,227,994,1915,0.519,20.67,0
0,0.476,0.351,11,36,1787,2,12,0.167,0.02,1
0,0.077,0.02,139,2207,987,153,1921,0.08,2.236,0
1,0.681,0.246,11,22,1858,8,19,0.421,0.012,1
0,0.403,0.392,5,29,2554,8,143,0.056,0.011,1
1,0.032,0.015,37,2176,941,82,3662,0.022,2.312,0
0,0.461,0.184,18,45,2288,6,128,0.047,0.02,1
0,0.849,0.284,8,8,2010,8,150,0.053,0.004,1
1,0.058,0.007,47,4474,605,143,3460,0.041,7.395,0
1,0.011,0.013,131,3758,710,115,1941,0.059,5.293,1
0,0.898,0.312,17,0,3786,3,138,0.022,0.0,1
0,0.761,0.236,9,27,1647,14,1,14.0,0.016,1
0,0.826,0.205,16,48,1731,3,77,0.039,0.028,1
0,0.051,0.004,77,1623,652,847,2537,0.334,2.489,0
1,0.06,0.01,44,3273,999,901,3669,0.246,3.276,0
1,0.006,0.018,40,1001,849,547,3707,0.148,1.179,0
1,0.076,0.015,46,4193,662,219,1450,0.151,6.334,0
1,0.664,0.486,17,48,3989,6,80,0.075,0.012,1
1,0.703,0.249,16,28,1495,7,58,0.121,0.019,1
1,0.002,0.011,105,2104,107,122,3264,0.037,19.664,0
0,0.437,0.462,10,4,3105,7,72,0.097,0.001,1
1,0.021,0.003,149,4977,690,534,1360,0.393,7.213,0
0,0.784,0.176,3,42,2765,11,109,0.101,0.015,1
1,0.086,0.001,113,1106,162,462,3347,0.138,6.827,0
1,0.086,0.005,54,4693,559,193,2093,0.092,8.395,0
1,0.578,0.45,2,28,4309,3,13,0.231,0.006,1
0,0.624,0.106,2,48,4476,7,43,0.163,0.011,1
0,0.589,0.446,1,10,2552,0,100,0.0,0.004,1
0,0.078,0.009,84,4852,777,785,2358,0.333,6.245,0
0,0.478,0.487,18,47,3220,1,81,0.012,0.015,1
1,0.651,0.301,16,10,1232,2,48,0.042,0.008,1
1,0.341,0.445,12,7,4856,7,149,0.047,0.001,1
1,0.062,0.008,104,4930,635,373,1433,0.26,7.764,0
1,0.072,0.005,80,1372,787,710,1593,0.446,1.743,0
0,0.857,0.474,0,29,3544,3,19,0.158,0.008,1
1,0.604,0.153,11,4,4601,7,95,0.074,0.001,1
1,0.044,0.011,68,4633,108,733,3711,0.198,42.898,0
1,0.859,0.141,4,16,1472,3,142,0.021,0.011,1
0,0.469,0.184,10,13,3815,8,130,0.062,0.003,1
1,0.091,0.017,41,3769,949,333,545,0.611,3.972,0
0,0.763,0.355,8,10,4036,14,142,0.099,0.002,0
1,0.056,0.002,150,1521,658,86,3783,0.023,2.312,0
1,0.055,0.009,35,2825,473,970,3625,0.268,5.973,0
0,0.324,0.243,7,42,1421,11,144,0.076,0.03,1
1,0.041,0.012,49,2239,985,216,3641,0.059,2.273,0
1,0.088,0.0,124,3021,901,471,3650,0.129,3.353,0
1,0.074,0.005,50,1185,491,943,523,1.803,2.413,0
1,0.022,0.016,88,3164,412,890,3622,0.246,7.68,0
1,0.434,0.364,12,21,2141,2,72,0.028,0.01,1
0,0.606,0.372,17,21,4847,0,30,0.0,0.004,1
1,0.026,0.012,63,613,211,660,2144,0.308,2.905,0
1,0.079,0.009,95,1247,494,971,2726,0.356,2.524,0
1,0.004,0.009,96,4710,803,786,3404,0.231,5.866,0
0,0.418,0.273,10,39,2285,3,77,0.039,0.017,1
1,0.067,0.007,119,2722,667,180,1150,0.157,4.081,0
0,0.094,0.014,145,1725,730,632,1597,0.396,2.363,0
1,0.083,0.006,56,3821,904,643,2849,0.226,4.227,0
0,0.579,0.277,6,32,2938,5,22,0.227,0.011,1
0,0.698,0.348,2,48,1962,9,58,0.155,0.024,1
1,0.015,0.001,90,896,566,474,3994,0.119,1.583,0
0,0.417,0.379,15,25,1999,4,2,2.0,0.013,1
1,0.086,0.018,129,3782,324,230,3658,0.063,11.673,0
0,0.611,0.12,7,7,2869,4,119,0.034,0.002,1
0,0.893,0.338,14,39,4338,13,141,0.092,0.009,1
1,0.395,0.445,14,16,4079,7,71,0.099,0.004,1
1,0.052,0.013,65,3903,179,780,1535,0.508,21.804,0
1,0.034,0.018,40,1433,254,286,1933,0.148,5.642,0
1,0.724,0.126,13,21,3222,14,107,0.131,0.007,1
1,0.083,0.008,128,460,977,951,3500,0.272,0.471,0
1,0.586,0.477,9,48,2597,13,138,0.094,0.018,1
1,0.628,0.341,7,31,1898,8,112,0.071,0.016,1
1,0.039,0.013,132,3612,841,219,3807,0.058,4.295,0
1,0.377,0.349,0,25,3424,0,22,0.0,0.007,1
0,0.381,0.285,1,16,2552,10,55,0.182,0.006,1
0,0.503,0.452,8,48,4896,13,65,0.2,0.01,1
0,0.582,0.4,1,22,1918,2,11,0.182,0.011,1
1,0.095,0.004,32,1548,344,179,2304,0.078,4.5,0
1,0.056,0.004,119,2399,885,427,1052,0.406,2.711,0
1,0.096,0.014,129,1641,418,160,2735,0.059,3.926,0
1,0.031,0.014,78,3549,832,253,676,0.374,4.266,1
1,0.083,0.005,119,2770,970,750,2824,0.266,2.856,0
0,0.778,0.326,1,22,3182,13,95,0.137,0.007,1
0,0.689,0.105,13,31,1432,13,93,0.14,0.022,1
1,0.083,0.014,85,1742,851,584,3029,0.193,2.047,0
1,0.785,0.315,15,29,2784,8,83,0.096,0.01,1
0,0.798,0.135,14,15,4073,14,146,0.096,0.004,1
1,0.527,0.111,10,11,2997,6,91,0.066,0.004,1
1,0.034,0.018,119,2563,669,60,2481,0.024,3.831,0
1,0.351,0.388,15,35,4105,7,122,0.057,0.009,1
0,0.594,0.417,2,18,1907,12,63,0.19,0.009,1
1,0.058,0.009,97,3116,535,813,2619,0.31,5.824,0
0,0.07,0.005,62,2188,223,788,1153,0.683,9.812,0
1,0.074,0.019,118,1816,296,271,3390,0.08,6.135,0
0,0.735,0.491,16,38,2159,3,50,0.06,0.018,1
1,0.036,0.006,120,4675,229,330,551,0.599,20.415,0
1,0.055,0.014,46,4321,205,943,415,2.272,21.078,0
0,0.582,0.276,5,3,2034,15,30,0.5,0.001,1
0,0.54,0.13,20,43,1219,4,39,0.103,0.035,1
0,0.869,0.134,7,7,3285,13,58,0.224,0.002,1
0,0.528,0.463,9,37,2756,9,146,0.062,0.013,1
0,0.666,0.396,6,40,1864,8,21,0.381,0.021,1
1,0.017,0.002,30,3646,561,755,2797,0.27,6.499,0
1,0.003,0.006,66,4019,172,753,1321,0.57,23.366,0
0,0.773,0.35,6,27,1470,7,39,0.179,0.018,1
1,0.083,0.001,51,2819,709,816,3741,0.218,3.976,0
1,0.029,0.002,118,2791,816,462,1480,0.312,3.42,0
1,0.049,0.002,35,3839,852,380,2837,0.134,4.506,0
1,0.009,0.019,137,469,883,738,3729,0.198,0.531,0
0,0.324,0.403,15,33,3668,14,72,0.194,0.009,1
1,0.059,0.013,92,1047,581,406,2037,0.199,1.802,0
1,0.067,0.017,72,3672,810,557,1545,0.361,4.533,0
0,0.54,0.404,1,29,1360,10,65,0.154,0.021,1
1,0.097,0.008,95,309,773,940,2587,0.363,0.4,0
0,0.333,0.307,19,48,3041,14,14,1.0,0.016,1
0,0.63,0.471,14,44,2985,3,8,0.375,0.015,1
1,0.665,0.196,5,19,3256,0,142,0.0,0.006,1
1,0.435,0.437,3,29,4879,3,40,0.075,0.006,1
0,0.73,0.304,8,26,4419,15,121,0.124,0.006,1
1,0.055,0.008,147,4463,864,950,924,1.028,5.166,0
1,0.466,0.416,13,21,4826,8,1,8.0,0.004,1
0,0.479,0.335,15,9,2829,15,89,0.169,0.003,1
1,0.758,0.251,10,12,3856,7,147,0.048,0.003,1
1,0.814,0.264,10,47,2937,12,99,0.121,0.016,1
1,0.079,0.013,49,4357,137,179,2422,0.074,31.803,0
1,0.033,0.002,138,3906,202,588,2236,0.263,19.337,0
1,0.386,0.448,4,4,2923,8,87,0.092,0.001,0
1,0.538,0.132,10,43,4519,12,82,0.146,0.01,1
0,0.832,0.295,17,2,3529,2,61,0.033,0.001,1
1,0.092,0.02,125,1040,544,150,3479,0.043,1.912,0
1,0.087,0.009,118,2753,129,97,1693,0.057,21.341,0
1,0.476,0.25,4,15,3175,13,145,0.09,0.005,1
0,0.408,0.17,19,24,3538,7,128,0.055,0.007,1
0,0.386,0.284,8,29,2045,0,120,0.0,0.014,1
0,0.068,0.003,86,3130,701,356,2982,0.119,4.465,0
0,0.714,0.283,9,12,2575,15,28,0.536,0.005,1
0,0.643,0.33,9,1,4399,12,71,0.169,0.0,1
0,0.819,0.411,1,38,4052,15,74,0.203,0.009,0
1,0.023,0.016,58,1857,735,306,3141,0.097,2.527,0
0,0.76,0.372,4,40,1397,1,80,0.013,0.029,1
1,0.003,0.007,46,1038,402,384,3426,0.112,2.582,0
0,0.42,0.415,11,33,3055,8,43,0.186,0.011,1
1,0.082,0.01,133,2717,864,941,1752,0.537,3.145,0
0,0.581,0.13,7,43,3966,12,143,0.084,0.011,1
0,0.774,0.106,17,7,2862,11,68,0.162,0.002,1
0,0.793,0.476,3,43,1957,15,7,2.143,0.022,1
0,0.866,0.231,19,14,3652,2,119,0.017,0.004,1
0,0.481,0.263,4,2,4875,1,78,0.013,0.0,1
1,0.37,0.194,17,8,2591,14,95,0.147,0.003,1
1,0.074,0.019,83,1565,524,720,770,0.935,2.987,0
0,0.669,0.476,8,2,3827,11,56,0.196,0.001,1
1,0.095,0.017,42,3309,657,973,3006,0.324,5.037,0
1,0.04,0.004,45,4025,193,728,1233,0.59,20.855,0
0,0.658,0.109,10,15,1515,6,18,0.333,0.01,1
1,0.055,0.012,134,2208,436,842,969,0.869,5.064,0
0,0.658,0.211,4,8,3212,8,45,0.178,0.002,1
0,0.82,0.153,11,50,4229,7,83,0.084,0.012,1
1,0.027,0.003,83,4609,216,813,625,1.301,21.338,1
1,0.078,0.01,43,4002,615,276,2884,0.096,6.507,0
1,0.77,0.447,16,19,2876,0,16,0.0,0.007,0
1,0.085,0.009,43,4316,829,981,2181,0.45,5.206,0
0,0.008,0.012,38,1333,381,689,2958,0.233,3.499,0
1,0.071,0.008,106,4646,401,514,2435,0.211,11.586,0
1,0.01,0.014,139,4816,838,936,1245,0.752,5.747,0
1,0.089,0.008,135,4015,508,475,3353,0.142,7.904,0
1,0.043,0.013,77,1550,803,995,2307,0.431,1.93,0
1,0.083,0.002,42,3352,931,183,2643,0.069,3.6,0
0,0.874,0.325,3,26,2448,13,14,0.929,0.011,1
0,0.66,0.241,18,32,1871,4,124,0.032,0.017,1
0,0.365,0.438,11,7,4123,8,147,0.054,0.002,1
0,0.557,0.324,19,39,3764,0,69,0.0,0.01,1
