username,followers,following,post_count,verified,is_fake,description_length,account_age_days,follower_following_ratio,reputation_score,username_length,digits_in_username,digit_ratio_username,has_url,posts_per_day
M3a_fjm9rR,227.0,242.0,19.0,0,1,29,3394.0,0.934156378600823,0.4829787234042553,10,2,0.1999998000002,0,0.0055964653902798
nessey2,72.0,339.0,8143.0,0,0,93,4332.0,0.2117647058823529,0.174757281553398,7,1,0.1428569387758017,0,1.8792984075698131
VargaNicki0228,3.0,0.0,14.0,0,1,50,2936.0,3.0,0.75,14,4,0.2857140816327988,0,0.0047667688117126
Te6gLCN_dS,1757.0,1385.0,326.0,0,0,41,1966.0,1.2676767676767675,0.5590200445434298,10,1,0.0999999000001,0,0.1657346212506354
GuuuuuHP,19.0,360.0,29.0,0,1,47,1416.0,0.0526315789473684,0.05,8,0,0.0,0,0.0204657727593507
Jt_MZ,101.0,1141.0,13.0,0,0,105,4008.0,0.0884413309982486,0.081255028157683,5,0,0.0,0,0.0032427039161885
henchthumb,19.0,0.0,52.0,0,1,56,2094.0,19.0,0.95,10,0,0.0,0,0.0248210023866348
iam_mcmich,759.0,115.0,183431.0,1,0,112,1778.0,6.543103448275862,0.8674285714285714,10,0,0.0,0,103.10905002810568
HDOSALAZAR,25580.0,23794.0,6356.0,0,0,14,4187.0,1.075015759613364,0.5180759493670886,10,0,0.0,0,1.5176695319961797
nytimes,47161738.0,904.0,404797.0,1,1,51,4918.0,52112.41767955801,0.9999808110838913,7,0,0.0,0,82.29253913397032
